Is Retweet,Is Reply,,Tweet Text,Tweet Day,Tweet Time,Tweet Id,Tweet Source,Tweet Retweet Count,Tweet Favorite Count
No,No,,I will be making a major statement from the @WhiteHouse upon my return to D.C. Time and date to be set.,Tuesday,14/11/2017 6:23,9.30E+17,Twitter for iPhone,2839,9010
No,No,,"Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, un… https://t.co/ExRBdQnJru",Tuesday,14/11/2017 5:26,9.30E+17,Twitter Web Client,2556,11279
No,No,,"After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States h… https://t.co/MoMNa1MUI3",Tuesday,14/11/2017 5:20,9.30E+17,Twitter Web Client,3926,16412
No,No,,Great to see @RandPaul looking well and back on the Senate floor. He will help us with TAX CUTS and REFORM!,Tuesday,14/11/2017 5:08,9.30E+17,Twitter Web Client,3169,14247
No,No,,"Excited to be heading home to see the House pass a GREAT Tax Bill with the middle class getting big TAX CUTS!

#MakeAmericaGreatAgain🇺🇸",Tuesday,14/11/2017 2:21,9.30E+17,Twitter for iPhone,8906,42693
No,No,,"I am proud of the Rep. House &amp;amp; Senate for working so hard on cutting taxes {&amp;amp; reform.} We’re getting close! Now, ho… https://t.co/bPmeYwoMhU",Monday,13/11/2017 15:06,9.30E+17,Twitter Web Client,14396,64519
No,No,,"Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!",Monday,13/11/2017 14:57,9.30E+17,Twitter for iPhone,10930,57121
No,No,,Will be leaving the Philippines tomorrow after many days of constant mtgs &amp;amp; work in order to #MAGA! My promises are rapidly being fulfilled.,Monday,13/11/2017 12:33,9.30E+17,Twitter for iPhone,12736,64056
No,No,,"Great day of bilateral meetings at #ASEANSummit on trade, which we are turning around to be great deals for our cou… https://t.co/n7g7Zvo9pl",Monday,13/11/2017 12:29,9.30E+17,Twitter for iPhone,7603,36279
Yes,No,,Thank you! https://t.co/TD0rYcWN8C,Sunday,12/11/2017 14:29,9.30E+17,Twitter for iPhone,10315,57622
No,No,,"We had a wonderful visit to Vietnam, thank you President Tran Dai Quang! Heading to the #ASEANSummit 50th Anniv Gal… https://t.co/s5gIKMqt50",Sunday,12/11/2017 11:20,9.30E+17,Twitter for iPhone,10380,54050
No,No,,"Just landed in the Philippines after a great day of meetings and events in Hanoi, Vietnam! https://t.co/YxHRNhhPWo",Sunday,12/11/2017 10:21,9.30E+17,Twitter for iPhone,10468,68003
No,No,,"Why would Kim Jong-un insult me by calling me &quot;old,&quot; when I would NEVER call him &quot;short and fat?&quot; Oh well, I try so… https://t.co/PmsWNkH4r4",Sunday,12/11/2017 0:48,9.30E+17,Twitter Web Client,261704,583205
No,No,,"Does the Fake News Media remember when Crooked Hillary Clinton, as Secretary of State, was begging Russia to be our… https://t.co/0QnLU03c03",Sunday,12/11/2017 0:43,9.30E+17,Twitter Web Client,27737,113440
No,No,,"When will all the haters and fools out there realize that having a good relationship with Russia is a good thing, n… https://t.co/tPCd8nSwY3",Sunday,12/11/2017 0:18,9.30E+17,Twitter Web Client,38614,153040
No,No,,Met with President Putin of Russia who was at #APEC meetings. Good discussions on Syria. Hope for his help to solve… https://t.co/eOt8rDcpeY,Sunday,12/11/2017 0:16,9.30E+17,Twitter Web Client,14970,71703
No,No,,"Will be doing a joint press conference in Hanoi, Vietnam then heading for final destination of trip, the Phillipines.",Saturday,11/11/2017 23:35,9.29E+17,Twitter for iPhone,9308,55846
No,No,,President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,Saturday,11/11/2017 23:32,9.29E+17,Twitter for iPhone,15867,74547
No,No,,"“Presidential Proclamation Commemorating the 50th Anniversary of the Vietnam War” 
➡️https://t.co/hgUQP9leqK 
➡️… https://t.co/xZ8AWnxDEA",Saturday,11/11/2017 12:35,9.29E+17,Twitter for iPhone,12109,55057
No,No,,"On this wonderful Veterans Day, I want to express the incredible gratitude of the entire American Nation to our GRE… https://t.co/MhHOaVTAWC",Saturday,11/11/2017 12:11,9.29E+17,Media Studio,30708,115833
